,fitness,expression,depth,length
alpha_31,1.027960369044086,"mul(add(mul(close, low), max(volume, low)), mul(close, add(high, open)))",3,13
alpha_166,1.027927490672787,"mul(mul(high, low), mul(high, high))",2,7
alpha_270,1.0278950997683869,"mul(close, mul(sqrt(open), open))",3,6
alpha_286,1.0278851461845895,"mul(neg(close), mul(high, low))",2,6
alpha_290,1.0278851461845895,"mul(neg(mul(high, close)), low)",3,6
alpha_291,1.0278851461845895,"mul(mul(low, high), neg(close))",2,6
alpha_284,1.0278851461845895,"mul(mul(close, low), abs(high))",2,6
alpha_287,1.0278851461845895,"mul(mul(close, high), neg(low))",2,6
alpha_279,1.0278851461845895,"neg(mul(mul(low, close), high))",3,6
alpha_273,1.0278851461845895,"mul(close, neg(mul(low, high)))",3,6
alpha_276,1.0278851461845895,"mul(neg(low), mul(close, high))",2,6
alpha_186,1.0278843383627079,"max(mul(close, mul(low, low)), high)",3,7
alpha_194,1.0278839496237564,"mul(add(low, mul(low, close)), low)",3,7
alpha_38,1.0278294191339734,"mul(abs(mul(close, close)), sub(mul(low, low), sub(low, low)))",3,12
alpha_196,1.0278012299021673,"mul(close, add(volume, mul(low, low)))",3,7
alpha_113,1.0277829381035324,"mul(neg(add(close, open)), abs(mul(close, open)))",3,9
alpha_319,1.0275866695564118,"mul(mul(close, low), neg(close))",2,6
alpha_316,1.0275866695564118,"neg(mul(mul(close, low), close))",3,6
alpha_320,1.0275866695564118,"mul(neg(low), mul(close, close))",2,6
alpha_322,1.0275866695564118,"abs(mul(low, mul(close, close)))",3,6
alpha_317,1.0275866695564118,"mul(mul(low, close), neg(close))",2,6
alpha_332,1.0274825143215196,"mul(log(low), mul(open, close))",2,6
alpha_330,1.0274825143215196,"mul(mul(close, open), log(low))",2,6
alpha_336,1.0274177875958994,"mul(mul(close, open), sqrt(high))",2,6
alpha_335,1.0274177875958994,"mul(mul(open, close), sqrt(high))",2,6
alpha_352,1.027384844400213,"sub(abs(volume), mul(close, open))",2,6
alpha_353,1.027384844400213,"add(neg(volume), mul(close, open))",2,6
alpha_361,1.0273714092614805,"mul(log(close), mul(close, open))",2,6
alpha_212,1.0273703622772483,"mul(close, add(mul(high, open), low))",3,7
alpha_229,1.0273701108823245,"mul(mul(high, open), max(close, close))",2,7
alpha_228,1.0273701108823245,"mul(mul(open, close), max(open, high))",2,7
alpha_227,1.0273701108823245,"mul(max(close, close), mul(high, open))",2,7
alpha_225,1.0273701108823245,"mul(mul(close, open), max(low, high))",2,7
alpha_215,1.0273701108823245,"mul(add(open, open), mul(close, high))",2,7
alpha_134,1.0273640770602501,"mul(abs(close), max(sqrt(low), mul(close, open)))",3,9
alpha_374,1.0273510851295273,"mul(neg(high), mul(low, low))",2,6
alpha_366,1.0273510851295273,"mul(abs(low), mul(low, high))",2,6
alpha_372,1.0273510851295273,"abs(mul(mul(low, low), high))",3,6
alpha_235,1.0272520931915188,"mul(add(low, open), mul(low, low))",2,7
alpha_243,1.02717034159948,"neg(mul(abs(low), mul(open, low)))",3,7
alpha_254,1.0271698014224333,"mul(sub(mul(open, low), close), low)",3,7
alpha_394,1.027167365276554,"mul(close, abs(add(low, open)))",3,6
alpha_397,1.027167365276554,"mul(abs(close), add(open, low))",2,6
alpha_399,1.027167365276554,"mul(add(low, open), neg(close))",2,6
alpha_400,1.027167365276554,"mul(close, abs(add(open, low)))",3,6
alpha_402,1.027167365276554,"mul(add(open, low), neg(close))",2,6
alpha_401,1.027167365276554,"mul(abs(close), add(low, open))",2,6
alpha_258,1.0271493483576792,"mul(mul(high, low), max(open, close))",2,7
alpha_143,1.0271465390171086,"add(open, mul(mul(close, high), mul(high, close)))",3,9
alpha_24,1.027109312015677,"sub(add(max(open, high), div(volume, open)), mul(mul(open, close), mul(close, open)))",3,15
alpha_261,1.0270749008951114,"mul(mul(high, open), add(close, low))",2,7
alpha_260,1.0270749008951114,"mul(add(close, low), mul(high, open))",2,7
alpha_262,1.0270749008951114,"mul(add(low, close), mul(high, open))",2,7
alpha_30,1.0270704561939639,"mul(max(sub(low, high), mul(open, close)), mul(max(open, low), abs(low)))",3,14
alpha_58,1.0270700598121378,"mul(abs(mul(high, close)), mul(max(open, high), neg(open)))",3,11
alpha_416,1.0270648577256645,"mul(abs(low), add(open, close))",2,6
alpha_424,1.0270527112465526,"mul(sqrt(mul(open, close)), low)",3,6
alpha_59,1.0270258367603013,"add(inv(log(volume)), mul(mul(low, open), mul(low, open)))",3,11
alpha_429,1.0270079131785779,"mul(mul(open, close), log(high))",2,6
alpha_434,1.026993503231984,"sub(sqrt(volume), mul(open, close))",2,6
alpha_435,1.026993503231984,"sub(mul(close, open), sqrt(volume))",2,6
alpha_437,1.026993503231984,"sub(mul(open, close), sqrt(volume))",2,6
alpha_438,1.026993503231984,"sub(sqrt(volume), mul(close, open))",2,6
alpha_469,1.0269903176262887,"abs(sub(open, mul(open, close)))",3,6
alpha_473,1.0269903176262887,"sub(mul(close, open), abs(open))",2,6
alpha_474,1.0269903176262887,"sub(abs(open), mul(open, close))",2,6
alpha_471,1.0269903176262887,"sub(mul(open, close), abs(open))",2,6
alpha_472,1.0269903176262887,"add(neg(open), mul(close, open))",2,6
alpha_478,1.0269902197600467,"add(abs(low), mul(open, close))",2,6
alpha_479,1.0269902197600467,"add(abs(low), mul(close, open))",2,6
alpha_482,1.0269902197600467,"abs(add(mul(open, close), low))",3,6
alpha_484,1.02699019290725,"sub(mul(open, close), log(volume))",2,6
alpha_493,1.0269900856963834,"sub(mul(open, close), abs(close))",2,6
alpha_497,1.0269900856963834,"sub(abs(close), mul(open, close))",2,6
alpha_498,1.0269900856963834,"add(mul(open, close), neg(close))",2,6
alpha_509,1.0269900709093571,"add(mul(open, close), sqrt(low))",2,6
alpha_506,1.0269900709093571,"add(mul(close, open), sqrt(low))",2,6
alpha_512,1.0269900701392438,"sub(sqrt(close), mul(close, open))",2,6
alpha_517,1.0269900699401016,"sub(mul(close, open), log(high))",2,6
alpha_518,1.0269900699236134,"mul(close, add(inv(high), open))",3,6
alpha_525,1.0269900698648138,"add(log(low), mul(close, open))",2,6
alpha_530,1.0269900698306407,"sub(log(close), mul(close, open))",2,6
alpha_531,1.0269900698306407,"sub(mul(close, open), log(close))",2,6
alpha_536,1.0269900698258712,"add(mul(close, open), inv(high))",2,6
alpha_540,1.0269900698258578,"add(inv(open), mul(close, open))",2,6
alpha_545,1.0269900698258523,"sub(inv(open), mul(close, open))",2,6
alpha_548,1.026990069825852,"add(inv(close), mul(close, open))",2,6
alpha_700,1.0269900698258514,"mul(add(close, close), neg(open))",2,6
alpha_623,1.0269900698258514,"max(mul(close, open), log(open))",2,6
alpha_593,1.0269900698258514,"mul(neg(open), add(close, close))",2,6
alpha_592,1.0269900698258514,"max(mul(close, open), neg(close))",2,6
alpha_626,1.0269900698258514,"mul(abs(close), max(low, open))",2,6
alpha_644,1.0269900698258514,"max(mul(close, open), abs(close))",2,6
alpha_628,1.0269900698258514,"max(volume, mul(abs(close), open))",3,6
alpha_703,1.0269900698258514,"max(neg(close), mul(open, close))",2,6
alpha_605,1.0269900698258514,"neg(mul(open, max(close, close)))",3,6
alpha_553,1.0269900698258514,"max(sqrt(high), mul(close, open))",2,6
alpha_601,1.0269900698258514,"max(mul(open, close), inv(low))",2,6
alpha_609,1.0269900698258514,"max(abs(open), mul(close, open))",2,6
alpha_610,1.0269900698258514,"mul(neg(open), max(close, low))",2,6
alpha_681,1.0269900698258514,"max(mul(open, close), sqrt(close))",2,6
alpha_657,1.0269900698258514,"max(mul(open, close), neg(close))",2,6
alpha_664,1.0269900698258514,"mul(abs(close), max(open, low))",2,6
alpha_615,1.0269900698258514,"max(sqrt(high), mul(open, close))",2,6
alpha_618,1.0269900698258514,"neg(mul(neg(open), neg(close)))",3,6
alpha_638,1.0269900698258514,"mul(close, neg(max(open, open)))",3,6
alpha_704,1.0269900698258514,"mul(max(open, inv(volume)), close)",3,6
alpha_585,1.0269900698258514,"mul(max(low, open), neg(close))",2,6
alpha_739,1.0269900698258514,"mul(max(open, open), abs(close))",2,6
alpha_745,1.0269900698258514,"mul(close, max(sqrt(open), open))",3,6
alpha_748,1.0269900698258514,"neg(mul(open, add(close, close)))",3,6
alpha_559,1.0269900698258514,"max(mul(close, open), inv(high))",2,6
alpha_792,1.0269900698258514,"max(close, abs(mul(open, close)))",3,6
alpha_759,1.0269900698258514,"mul(max(low, close), abs(open))",2,6
alpha_772,1.0269900698258514,"abs(mul(abs(close), neg(open)))",3,6
alpha_791,1.0269900698258514,"max(mul(open, close), sqrt(open))",2,6
alpha_549,1.0269900698258514,"neg(mul(abs(open), neg(close)))",3,6
alpha_767,1.0269900698258514,"max(abs(open), mul(open, close))",2,6
alpha_768,1.0269900698258514,"max(log(close), mul(open, close))",2,6
alpha_782,1.0269900698258514,"max(inv(high), mul(open, close))",2,6
alpha_776,1.0269900698258514,"neg(mul(max(low, close), open))",3,6
alpha_737,1.0269900698258514,"max(neg(low), mul(open, close))",2,6
alpha_730,1.0269900698258514,"max(abs(low), mul(close, open))",2,6
alpha_726,1.0269900698258514,"mul(max(open, low), neg(close))",2,6
alpha_710,1.0269900698258514,"max(mul(abs(open), close), low)",3,6
alpha_712,1.0269900698258514,"mul(abs(open), max(close, low))",2,6
alpha_551,1.0269900698258514,"max(sqrt(volume), mul(close, open))",2,6
alpha_720,1.0269900698258514,"max(mul(open, close), log(low))",2,6
alpha_718,1.0269900698258514,"max(mul(open, close), log(open))",2,6
alpha_717,1.0269900698258514,"abs(mul(abs(open), abs(close)))",3,6
alpha_715,1.0269900698258514,"mul(max(close, low), neg(open))",2,6
alpha_578,1.0269900698258514,"max(mul(close, open), abs(high))",2,6
alpha_172,1.0269176987255877,"mul(open, max(sqrt(open), mul(close, open)))",3,8
alpha_281,1.0268851461845896,"mul(mul(high, close), add(low, low))",2,7
alpha_283,1.0268851461845896,"mul(mul(close, low), max(low, high))",2,7
alpha_300,1.0268226643883325,"mul(mul(close, open), div(low, high))",2,7
alpha_301,1.026822664388332,"div(mul(low, open), div(high, close))",2,7
alpha_197,1.026785611654493,"mul(abs(mul(close, low)), sqrt(abs(open)))",3,8
alpha_305,1.0267075370196932,"mul(close, mul(add(open, close), close))",3,7
alpha_114,1.0267010595066872,"mul(mul(close, abs(close)), mul(neg(low), sqrt(low)))",3,10
alpha_306,1.0266677810506606,"mul(mul(high, open), mul(high, high))",2,7
alpha_307,1.0266644474584536,"mul(inv(mul(open, low)), inv(low))",3,7
alpha_56,1.0266271667227833,"mul(sub(sqrt(high), inv(close)), mul(abs(open), mul(low, close)))",3,12
alpha_115,1.0266034027378355,"div(div(inv(open), mul(low, close)), abs(sqrt(open)))",3,10
alpha_318,1.0265866695564119,"mul(max(close, low), mul(close, low))",2,7
alpha_326,1.0265720381925116,"mul(mul(high, low), add(open, low))",2,7
alpha_333,1.0264825143215186,"mul(mul(log(low), neg(close)), open)",3,7
alpha_207,1.0264810742028967,"neg(mul(mul(high, high), mul(open, open)))",3,8
alpha_151,1.0263903230566565,"add(mul(add(close, high), mul(low, open)), volume)",3,9
alpha_342,1.0263854965429273,"sub(mul(close, open), add(volume, high))",2,7
alpha_345,1.026385167564235,"sub(mul(close, open), add(volume, open))",2,7
alpha_346,1.026384957953837,"sub(sub(volume, low), mul(open, close))",2,7
alpha_348,1.026384932445127,"sub(mul(open, close), add(close, volume))",2,7
alpha_349,1.026384932445127,"sub(mul(open, close), add(volume, close))",2,7
alpha_359,1.0263841923114014,"add(sub(high, volume), mul(open, close))",2,7
alpha_360,1.0263841923114014,"sub(sub(volume, high), mul(close, open))",2,7
alpha_226,1.0263701108823244,"mul(mul(neg(high), open), abs(abs(close)))",3,8
alpha_218,1.0263701108823244,"neg(mul(mul(close, open), max(high, low)))",3,8
alpha_123,1.02636407706025,"mul(mul(max(open, low), add(close, close)), abs(close))",3,10
alpha_135,1.02636407706025,"mul(neg(open), max(mul(close, close), add(low, volume)))",3,10
alpha_362,1.0263584166042439,"inv(mul(sqrt(close), mul(low, open)))",3,7
alpha_378,1.0263510851295274,"mul(max(close, high), mul(low, low))",2,7
