,fitness,expression,depth,length
alpha_534,0.1419282155109653,"mul(add(inv(volume), sub(close, low)), mul(sub(volume, high), sub(close, low)))",3,14
alpha_399,0.14184032680985598,"mul(max(mul(sub(high, low), sub(volume, high)), sqrt(add(low, close))), mul(mul(low, volume), sub(low, close)))",4,20
alpha_441,0.1418231628119998,"mul(abs(sub(low, close)), max(mul(sub(high, low), sub(volume, high)), sqrt(add(low, close))))",4,17
alpha_507,0.1417618368449174,"abs(mul(sub(high, low), neg(mul(sub(abs(close), low), abs(sub(high, volume))))))",6,15
alpha_472,0.14176128085052647,"mul(log(sub(open, high)), mul(sub(low, high), mul(sub(low, close), mul(close, volume))))",4,16
alpha_660,0.14174741030320895,"abs(mul(sub(close, low), mul(sub(close, open), mul(high, volume))))",4,12
alpha_658,0.14174741030320895,"abs(mul(mul(sub(close, open), mul(high, volume)), sub(close, low)))",4,12
alpha_539,0.1417436785052838,"mul(log(div(low, close)), mul(mul(close, volume), neg(sub(close, low))))",4,13
alpha_450,0.14150035786782994,"abs(mul(sub(close, low), mul(log(sub(open, high)), mul(sub(low, high), mul(open, volume)))))",5,17
alpha_451,0.14150035786782994,"abs(mul(mul(log(sub(open, high)), mul(sub(low, high), mul(open, volume))), sub(close, low)))",5,17
alpha_519,0.14126164913582956,"mul(abs(sub(low, close)), abs(sub(abs(mul(sub(low, close), abs(volume))), high)))",6,15
alpha_520,0.14126164913582956,"mul(sub(abs(close), low), abs(sub(high, abs(mul(abs(volume), sub(close, low))))))",6,15
alpha_492,0.14113778308643166,"abs(mul(sub(low, high), sub(mul(sub(close, low), sub(volume, low)), sqrt(inv(open)))))",5,16
alpha_397,0.14109362270191522,"mul(add(sub(inv(abs(open)), mul(sub(volume, high), sub(close, low))), low), mul(mul(low, volume), sub(low, close)))",5,21
alpha_526,0.14106520856493848,"mul(add(volume, low), mul(mul(max(volume, close), sub(low, close)), sub(low, close)))",4,15
alpha_679,0.14105103804016578,"mul(mul(sub(close, low), mul(volume, volume)), sub(close, low))",3,11
alpha_684,0.14105103804016578,"mul(sub(close, low), mul(sub(close, low), mul(volume, volume)))",3,11
alpha_681,0.14105103804016578,"mul(mul(sub(close, low), mul(volume, volume)), sub(low, close))",3,11
alpha_566,0.14100077036100991,"add(mul(sub(close, low), mul(volume, sub(close, low))), abs(sqrt(close)))",4,13
alpha_602,0.1410007213076101,"mul(sub(abs(close), low), abs(mul(max(volume, volume), sub(low, close))))",4,13
alpha_601,0.1410007213076101,"mul(abs(sub(low, close)), abs(max(mul(volume, sub(close, low)), volume)))",5,13
alpha_644,0.14100072130734403,"sub(inv(abs(open)), mul(mul(volume, sub(low, close)), sub(close, low)))",4,13
alpha_647,0.14100072129800048,"sub(mul(sub(close, low), mul(volume, sub(low, close))), sqrt(inv(open)))",4,13
alpha_648,0.14100067223756108,"add(mul(sub(close, low), mul(volume, sub(low, close))), abs(sqrt(close)))",4,13
alpha_500,0.14097919019829686,"abs(mul(sub(low, close), mul(sub(sub(open, volume), log(high)), abs(sub(low, high)))))",5,16
alpha_528,0.14092919325495623,"add(mul(sub(close, low), mul(sub(volume, high), sub(close, low))), abs(sqrt(close)))",4,15
alpha_537,0.140905045801692,"mul(add(volume, low), mul(sub(mul(volume, sub(low, close)), high), sub(low, close)))",5,15
alpha_438,0.14083073189264345,"add(mul(sub(close, low), max(mul(sub(high, low), sub(volume, high)), sqrt(add(low, close)))), low)",5,18
alpha_712,0.14081060348715982,"mul(add(high, mul(sub(close, low), volume)), sub(low, close))",4,11
alpha_714,0.14081060348715982,"mul(sub(low, close), sub(mul(volume, sub(low, close)), high))",4,11
alpha_473,0.14076128085052647,"mul(log(sub(open, high)), mul(sub(low, high), abs(mul(sub(low, close), mul(close, volume)))))",5,17
alpha_404,0.14073557872205308,"mul(mul(mul(max(volume, volume), sub(low, close)), mul(volume, log(open))), mul(sqrt(high), sub(low, high)))",4,19
